category,incidents,bounce_rate,handoffs,share_of_handoffs
Category 42,3210,0.373208722741433,2193,0.11491301613917418
Category 53,2567,0.4098169068952084,2064,0.10815342695451688
Category 26,2977,0.30970775948941887,1886,0.09882624187801299
Category 23,1063,0.8447789275634995,1707,0.08944665688534899
Category 46,2167,0.4019381633594832,1590,0.08331586669461329
Category 57,908,0.6167400881057269,1031,0.054024313561098304
Category 40,667,0.6866566716641679,1014,0.05313351498637602
Category 37,1089,0.43067033976124885,878,0.04600712638859778
Category 34,496,0.6794354838709677,814,0.042653531754349196
Category 32,1241,0.26510878323932313,776,0.0406623349402641
Category 61,805,0.3950310559006211,724,0.03793753929993712
Category 20,952,0.3560924369747899,710,0.03720394047369524
Category 9,1107,0.25925925925925924,566,0.029658352546635926
Category 24,632,0.42563291139240506,550,0.02881995388807378
Category 45,616,0.34415584415584416,432,0.02263676378117795
Category 44,325,0.563076923076923,333,0.01744917208132467
Category 28,457,0.38074398249452956,252,0.013204778872353804
Category 51,544,0.16911764705882354,240,0.012575979878432194
Category 19,220,0.45454545454545453,232,0.012156780549151121
Category 35,452,0.11061946902654868,91,0.004768392370572207
