initial_group,final_group,incidents,share_of_category
Group 20,Group 70,372,0.35
Group 20,Group 20,136,0.1279
Group 20,Group 72,133,0.1251
Group 20,Group 25,61,0.0574
Group 20,Group 24,45,0.0423
Group 70,Group 70,40,0.0376
Group 20,Group 28,29,0.0273
Group 20,Group 54,27,0.0254
Group 20,Group 23,18,0.0169
Group 20,Group 30,16,0.0151
Group 20,Group 27,16,0.0151
Group 20,Group 60,15,0.0141
Group 20,Group 62,13,0.0122
Group 20,Group 29,13,0.0122
Group 20,Group 61,12,0.0113
Group 20,Group 76,11,0.0103
Group 20,Group 59,9,0.0085
Group 23,Group 23,7,0.0066
Group 70,Group 20,5,0.0047
Group 20,Group 39,5,0.0047
Group 72,Group 72,5,0.0047
Group 24,Group 24,4,0.0038
Group 20,Group 66,4,0.0038
Group 20,Group 56,4,0.0038
Group 70,Group 54,4,0.0038
Group 27,Group 27,3,0.0028
Group 25,Group 25,3,0.0028
Group 28,Group 28,3,0.0028
Group 20,Group 63,3,0.0028
Group 20,Group 55,3,0.0028
Group 20,Group 69,3,0.0028
Group 54,Group 54,3,0.0028
Group 20,Group 26,2,0.0019
Group 24,Group 62,2,0.0019
Group 70,Group 66,2,0.0019
Group 76,Group 70,2,0.0019
Group 30,Group 30,2,0.0019
Group 29,Group 29,2,0.0019
Group 20,Group 53,1,0.0009
Group 20,Group 5,1,0.0009
Group 20,Group 73,1,0.0009
Group 20,Group 65,1,0.0009
Group 20,Group 6,1,0.0009
Group 20,Group 64,1,0.0009
Group 20,Group 21,1,0.0009
Group 20,Group 33,1,0.0009
Group 28,Group 70,1,0.0009
Group 25,Group 23,1,0.0009
Group 54,Group 20,1,0.0009
Group 39,Group 23,1,0.0009
Group 30,Group 72,1,0.0009
Group 30,Group 70,1,0.0009
Group 30,Group 23,1,0.0009
Group 29,Group 72,1,0.0009
Group 28,Group 61,1,0.0009
Group 62,Group 20,1,0.0009
Group 70,Group 30,1,0.0009
Group 70,Group 28,1,0.0009
Group 70,Group 25,1,0.0009
Group 70,Group 24,1,0.0009
Group 70,Group 23,1,0.0009
Group 70,Group 72,1,0.0009
Group 76,Group 66,1,0.0009
Group 76,Group 76,1,0.0009
