metric,value
incidents_total,24918
incidents_with_resolution_time,23362
core_months,3
core_period_start,2016-03-01
core_period_end,2016-05-31
core_period_share_of_incidents,0.9806966851272173
incidents_per_month,8146
share_bounced,0.40968239020631797
share_bounced_2plus,0.182518619981166
total_handoffs,19084
handoffs_per_bounced_incident,1.9939400271653955
median_hours_not_bounced,1.2166666666666666
median_hours_bounced,82.55
sla_not_bounced,0.7258356899427163
sla_bounced,0.46202068749346986
like_for_like_groups,35
like_for_like_share_of_bounced,0.9263399853724794
like_for_like_extra_median_hours,62.52104669524025
like_for_like_sla_gap_pts,17.331948026384737
top10_categories_share_of_handoffs,0.7311360301823516
openers_analyzed,21
openers_min_gap_pts,-11.631765778175218
openers_max_gap_pts,16.795165908635944
openers_beyond_chance,13
focus_category,Category 23
focus_incidents,1063
focus_bounce_rate,0.8447789275634995
focus_share_of_all_handoffs,0.08944665688534899
focus_share_of_incidents,0.04550124133207773
focus_initial_equals_final,0.19661335841956726
