final_group,n_bounced,n_not_bounced,median_hours_bounced,median_hours_not_bounced,sla_bounced,sla_not_bounced,extra_median_hours,sla_gap_pts
Group 10,141,202,430.1,385.95000000000005,0.24822695035460993,0.2524752475247525,44.14999999999998,0.4248297170142551
Group 12,69,56,357.53333333333336,289.14166666666665,0.14492753623188406,0.14285714285714285,68.39166666666671,-0.2070393374741214
Group 20,285,160,140.96666666666667,6.716666666666667,0.4070175438596491,0.4875,134.25,8.048245614035087
Group 22,98,143,123.3,37.18333333333333,0.32653061224489793,0.5524475524475524,86.11666666666667,22.591694020265447
Group 23,558,254,83.94166666666666,1.3250000000000002,0.4874551971326165,0.8031496062992126,82.61666666666666,31.569440916659612
Group 24,560,504,52.55833333333334,7.066666666666666,0.5553571428571429,0.75,45.491666666666674,19.46428571428571
Group 25,713,569,140.13333333333333,76.3,0.37727910238429174,0.4833040421792619,63.83333333333333,10.602493979497012
Group 27,267,251,66.33333333333333,18.433333333333334,0.4868913857677903,0.6852589641434262,47.89999999999999,19.836757837563596
Group 28,341,207,68.85,24.6,0.501466275659824,0.5942028985507246,44.24999999999999,9.273662289090057
Group 29,148,125,174.79166666666669,94.96666666666668,0.2905405405405405,0.48,79.825,18.945945945945947
Group 3,51,50,817.9,189.125,0.058823529411764705,0.28,628.775,22.11764705882353
Group 30,161,107,48.96666666666667,14.433333333333334,0.5527950310559007,0.7383177570093458,34.53333333333333,18.552272595344512
Group 31,107,98,89.06666666666666,127.32499999999999,0.3364485981308411,0.29591836734693877,-38.258333333333326,-4.0530230783902335
Group 33,117,84,121.93333333333334,103.65,0.38461538461538464,0.39285714285714285,18.28333333333333,0.8241758241758212
Group 37,84,92,271.6916666666666,240.52499999999998,0.20238095238095238,0.29347826086956524,31.16666666666663,9.109730848861286
Group 39,929,273,20.383333333333333,7.466666666666667,0.7158234660925726,0.5897435897435898,12.916666666666666,-12.607987634898288
Group 46,75,91,27.7,1.0833333333333333,0.52,0.8571428571428571,26.616666666666667,33.71428571428571
Group 48,77,85,213.28333333333333,48.45,0.33766233766233766,0.6470588235294118,164.83333333333331,30.939648586707413
Group 49,54,54,13.533333333333335,4.133333333333333,0.6666666666666666,0.8333333333333334,9.400000000000002,16.666666666666675
Group 5,30,117,120.475,16.1,0.43333333333333335,0.5128205128205128,104.375,7.948717948717943
Group 53,43,51,49.55,24.03333333333333,0.4418604651162791,0.5882352941176471,25.516666666666666,14.6374829001368
Group 54,156,55,107.74166666666667,53.0,0.3974358974358974,0.6727272727272727,54.741666666666674,27.529137529137532
Group 55,124,173,25.224999999999998,2.783333333333333,0.5,0.6936416184971098,22.441666666666663,19.36416184971098
Group 57,161,154,216.76666666666668,121.84166666666667,0.2484472049689441,0.3961038961038961,94.92500000000001,14.765669113495203
Group 58,53,92,56.15,22.166666666666664,0.5471698113207547,0.7065217391304348,33.983333333333334,15.935192780968011
Group 6,171,86,141.95,51.81666666666666,0.38596491228070173,0.5581395348837209,90.13333333333333,17.217462260301918
Group 64,106,613,0.0333333333333333,0.05,0.8584905660377359,0.8923327895595432,-0.016666666666666705,3.3842223521807324
Group 65,122,213,76.11666666666667,77.58333333333333,0.4180327868852459,0.4507042253521127,-1.4666666666666544,3.2671438466866762
Group 66,160,217,191.025,255.3,0.25,0.3548387096774194,-64.275,10.483870967741938
Group 69,40,34,4.55,1.2666666666666666,0.675,0.6176470588235294,3.283333333333333,-5.735294117647061
Group 70,2216,7286,89.96666666666667,0.3,0.4905234657039711,0.8429865495470766,89.66666666666667,35.24630838431055
Group 72,292,80,145.65,75.775,0.3493150684931507,0.45,69.875,10.068493150684931
Group 73,216,362,92.21666666666665,45.46666666666667,0.4212962962962963,0.6132596685082873,46.749999999999986,19.1963372211991
Group 74,56,49,166.81666666666666,146.06666666666666,0.2857142857142857,0.32653061224489793,20.75,4.081632653061224
Group 76,85,104,146.61666666666667,72.26666666666667,0.32941176470588235,0.5384615384615384,74.35000000000001,20.904977375565608
