opened_by,n,actual,expected,gap_pts,z
Opened by  180,630,0.14,0.256,-11.632,-7.081
Opened by  221,345,0.386,0.452,-6.632,-2.609
Opened by  62,763,0.368,0.42,-5.145,-3.005
Opened by  24,1530,0.34,0.386,-4.614,-3.857
Opened by  94,200,0.38,0.421,-4.101,-1.236
Opened by  55,981,0.36,0.387,-2.696,-1.799
Opened by  305,537,0.4,0.424,-2.356,-1.151
Opened by  501,680,0.379,0.402,-2.29,-1.28
Opened by  386,640,0.372,0.394,-2.229,-1.203
Opened by  239,342,0.404,0.418,-1.449,-0.567
Opened by  58,430,0.416,0.419,-0.307,-0.134
Opened by  17,6839,0.411,0.409,0.223,0.394
Opened by  131,1205,0.432,0.403,2.869,2.107
Opened by  8,636,0.445,0.404,4.066,2.209
Opened by  40,706,0.469,0.426,4.311,2.431
Opened by  301,510,0.439,0.387,5.208,2.552
Opened by  59,557,0.661,0.598,6.307,3.203
Opened by  397,510,0.49,0.411,7.96,3.81
Opened by  108,880,0.542,0.446,9.645,6.169
Opened by  390,407,0.536,0.411,12.472,5.321
Opened by  500,252,0.567,0.4,16.795,5.662
