category,subcategory,route_to_group,support,confidence
Category 42,Subcategory 223,Group 70,1729,0.694
Category 26,Subcategory 175,Group 70,1340,0.752
Category 53,Subcategory 174,Group 70,950,0.489
Category 32,Subcategory 9,Group 70,619,0.885
Category 46,Subcategory 223,Group 70,532,0.321
Category 51,Subcategory 174,Group 64,426,0.937
Category 37,Subcategory 135,Group 70,410,0.29
Category 40,Subcategory 43,Group 70,396,0.391
Category 26,Subcategory 275,Group 70,386,0.637
Category 23,Subcategory 174,Group 70,367,0.33
Category 26,Subcategory 174,Group 70,360,0.789
Category 32,Subcategory 174,Group 70,339,0.761
Category 9,Subcategory 164,Group 24,334,0.257
Category 35,Subcategory 28,Group 70,317,0.931
Category 61,Subcategory 36,Group 73,288,0.635
Category 9,Subcategory 174,Group 25,277,0.253
Category 20,Subcategory 174,Group 70,275,0.727
Category 46,Subcategory 174,Group 70,272,0.301
Category 20,Subcategory 125,Group 70,256,0.695
Category 20,Subcategory 103,Group 70,234,0.688
Category 57,Subcategory 170,Group 65,230,0.339
Category 23,Subcategory 3,Group 70,224,0.451
Category 24,Subcategory 174,Group 24,217,0.258
Category 28,Subcategory 174,Group 70,216,0.477
Category 42,Subcategory 174,Group 23,208,0.26
Category 53,Subcategory 303,Group 70,203,0.443
Category 26,Subcategory 164,Group 70,192,0.682
Category 24,Subcategory 164,Group 25,155,0.206
Category 23,Subcategory 75,Group 70,150,0.413
Category 53,Subcategory 114,Group 66,145,0.579
Category 45,Subcategory 200,Group 70,138,0.333
Category 37,Subcategory 123,Group 70,138,0.254
Category 37,Subcategory 174,Group 70,135,0.267
Category 42,Subcategory 31,Group 70,127,0.276
Category 61,Subcategory 164,Group 73,124,0.677
Category 34,Subcategory 174,Group 23,113,0.239
Category 45,Subcategory 150,Group 10,113,0.814
Category 40,Subcategory 44,Group 70,110,0.691
Category 34,Subcategory 154,Group 25,108,0.241
Category 45,Subcategory 223,Group 70,97,0.629
Category 32,Subcategory 300,Group 70,92,0.609
Category 61,Subcategory 16,Group 73,90,0.633
Category 42,Subcategory 29,Group 55,90,0.578
Category 53,Subcategory 168,Group 70,79,0.544
Category 46,Subcategory 220,Group 66,75,0.88
Category 44,Subcategory 174,Group 5,74,0.446
Category 53,Subcategory 117,Group 24,71,0.408
Category 46,Subcategory 231,Group 37,70,0.8
Category 61,Subcategory 174,Group 73,67,0.507
Category 34,Subcategory 134,Group 24,67,0.224
Category 46,Subcategory 150,Group 10,64,0.594
Category 53,Subcategory 80,Group 70,64,0.359
Category 46,Subcategory 251,Group 22,63,0.413
Category 57,Subcategory 174,Group 70,62,0.355
Category 57,Subcategory 185,Group 25,61,0.262
Category 13,Subcategory 302,Group 70,61,0.492
Category 19,Subcategory 163,Group 72,60,0.35
Category 9,Subcategory 202,Group 70,58,0.276
Category 42,Subcategory 224,Group 70,58,0.397
Category 53,Subcategory 82,Group 76,57,0.474
Category 43,Subcategory 107,Group 22,56,0.357
Category 44,Subcategory 54,Group 70,56,0.5
Category 45,Subcategory 229,Group 6,55,0.455
Category 46,Subcategory 94,Group 33,53,0.566
Category 53,Subcategory 271,Group 70,52,0.327
Category 44,Subcategory 60,Group 5,50,0.34
Category 53,Subcategory 130,Group 70,47,0.383
Category 40,Subcategory 174,Group 70,46,0.522
Category 35,Subcategory 174,Group 70,43,0.907
Category 19,Subcategory 289,Group 30,43,0.349
Category 55,Subcategory 170,Group 65,43,0.488
Category 34,Subcategory 112,Group 25,42,0.286
Category 53,Subcategory 127,Group 76,42,0.357
Category 46,Subcategory 88,Group 31,40,0.625
Category 46,Subcategory 247,Group 57,40,0.425
Category 40,Subcategory 215,Group 70,39,0.487
Category 43,Subcategory 105,Group 39,37,0.568
Category 37,Subcategory 285,Group 46,35,0.543
Category 42,Subcategory 106,Group 70,34,0.382
Category 45,Subcategory 220,Group 66,34,0.941
Category 46,Subcategory 248,Group 57,34,0.529
Category 46,Subcategory 255,Group 6,33,0.455
Category 9,Subcategory 110,Group 25,32,0.312
Category 42,Subcategory 183,Group 70,31,0.323
Category 34,Subcategory 151,Group 27,31,0.258
Category 57,Subcategory 270,Group 34,30,0.8
Category 43,Subcategory 174,Group 70,29,0.379
Category 46,Subcategory 249,Group 57,28,0.321
Category 45,Subcategory 191,Group 58,28,0.857
Category 22,Subcategory 277,Group 75,28,0.429
Category 41,Subcategory 174,Group 70,28,1.0
Category 19,Subcategory 174,Group 56,28,0.214
Category 45,Subcategory 29,Group 55,27,0.519
Category 44,Subcategory 59,Group 5,27,0.63
Category 53,Subcategory 153,Group 28,25,0.28
Category 51,Subcategory 301,Group 70,25,0.36
Category 35,Subcategory 132,Group 70,24,0.75
Category 44,Subcategory 64,Group 39,24,0.458
Category 51,Subcategory 6,Group 70,24,0.583
Category 9,Subcategory 145,Group 24,24,0.25
Category 24,Subcategory 228,Group 24,23,0.217
Category 57,Subcategory 184,Group 70,23,0.348
Category 53,Subcategory 13,Group 23,23,0.304
Category 46,Subcategory 250,Group 57,22,0.409
Category 45,Subcategory 88,Group 31,22,0.591
Category 13,Subcategory 69,Group 23,22,0.364
Category 17,Subcategory 174,Group 69,22,0.273
Category 53,Subcategory 178,Group 70,21,0.667
Category 46,Subcategory 243,Group 57,21,0.714
Category 57,Subcategory 146,Group 58,21,0.333
Category 17,Subcategory 90,Group 69,21,0.429
Category 40,Subcategory 69,Group 70,20,0.35
Category 53,Subcategory 20,Group 25,19,0.421
Category 46,Subcategory 72,Group 10,19,0.421
Category 46,Subcategory 242,Group 57,18,0.667
Category 46,Subcategory 208,Group 39,18,0.389
Category 13,Subcategory 174,Group 70,18,0.611
Category 37,Subcategory 189,Group 49,18,0.278
Category 55,Subcategory 305,Group 35,17,0.588
Category 45,Subcategory 94,Group 33,16,0.5
Category 51,Subcategory 25,Group 24,16,0.375
Category 57,Subcategory 159,Group 65,15,0.6
Category 8,Subcategory 281,Group 53,15,0.933
Category 19,Subcategory 4,Group 72,15,0.267
Category 20,Subcategory 89,Group 70,15,0.6
Category 55,Subcategory 270,Group 33,14,0.643
Category 24,Subcategory 77,Group 24,14,0.929
Category 38,Subcategory 86,Group 70,14,0.286
Category 24,Subcategory 202,Group 25,14,0.357
Category 51,Subcategory 182,Group 24,13,0.462
Category 57,Subcategory 305,Group 33,13,0.538
Category 46,Subcategory 252,Group 22,13,0.538
Category 7,Subcategory 86,Group 24,12,0.417
Category 38,Subcategory 174,Group 70,12,0.25
Category 45,Subcategory 47,Group 31,10,0.7
Category 46,Subcategory 191,Group 58,10,0.7
Category 53,Subcategory 194,Group 54,10,0.6
Category 37,Subcategory 144,Group 25,10,0.3
Category 46,Subcategory 257,Group 22,10,0.4
Category 46,Subcategory 233,Group 21,9,0.889
Category 53,Subcategory 46,Group 76,9,0.889
Category 53,Subcategory 113,Group 70,9,0.444
Category 46,Subcategory 258,Group 6,9,0.667
Category 35,Subcategory 92,Group 70,9,0.778
Category 53,Subcategory 225,Group 68,9,0.778
Category 7,Subcategory 174,Group 24,9,0.667
Category 8,Subcategory 156,Group 53,8,0.75
Category 34,Subcategory 181,Group 70,8,0.5
Category 8,Subcategory 174,Group 53,8,0.625
Category 53,Subcategory 68,Group 68,8,0.5
Category 53,Subcategory 78,Group 76,8,0.625
Category 34,Subcategory 294,Group 25,8,0.5
Category 46,Subcategory 254,Group 22,8,0.625
Category 53,Subcategory 219,Group 31,7,0.857
Category 46,Subcategory 246,Group 57,7,0.857
Category 57,Subcategory 101,Group 76,7,0.857
Category 53,Subcategory 50,Group 70,7,0.714
Category 61,Subcategory 283,Group 73,7,0.714
Category 46,Subcategory 47,Group 31,7,0.714
Category 9,Subcategory 198,Group 25,7,0.571
Category 46,Subcategory 259,Group 6,6,0.667
Category 46,Subcategory 260,Group 3,6,0.333
Category 22,Subcategory 40,Group 75,6,0.667
Category 44,Subcategory 65,Group 70,6,0.333
Category 55,Subcategory 185,Group 56,6,0.333
Category 53,Subcategory 287,Group 70,5,0.6
Category 46,Subcategory 261,Group 6,5,0.8
Category 57,Subcategory 120,Group 70,5,0.4
Category 57,Subcategory 17,Group 33,5,0.4
Category 57,Subcategory 167,Group 76,5,0.6
Category 24,Subcategory 30,Group 20,5,0.2
